season,week,scheme,eliminated_count,spearman_corr,kendall_tau,elimination_pressure
22,4,percent,1,-0.28596497262429627,-0.30434782608695654,0.10936955764541974
22,6,percent,1,0.27975144247209416,0.6666666666666666,0.12359085903083701
22,7,percent,2,0.0,0.06666666666666667,0.0
22,8,percent,1,-0.9856107606091624,-1.0,0.18698224852071002
22,9,percent,2,0.0,-0.2,0.21742160278745648
23,2,percent,1,-0.10570328451633801,-0.14285714285714285,0.08285984848484851
23,3,percent,1,-0.08827348295047496,-0.2,0.09090909090909093
23,4,percent,2,-0.05341791932228828,-0.0967741935483871,0.019157088122605373
23,6,percent,1,0.1380861926847485,0.25,0.12480737704918032
23,7,percent,1,-0.16984155512168939,-0.16666666666666666,0.14233860513352342
23,8,percent,1,-0.039762138624377205,-0.06666666666666667,0.16252072555959426
23,9,percent,1,0.5393598899705937,1.0,0.2
23,10,percent,1,0.8720815992723809,0.7777777777777778,0.24402730375426618
24,2,percent,1,0.26529461297122914,0.6,0.09090909090909091
24,3,percent,1,0.4055687134240155,1.0,0.1
24,4,percent,1,0.5254270830780441,1.0,0.11057941376959779
24,5,percent,1,0.03994013466338355,0.05263157894736842,0.12294407894736842
24,6,percent,1,-1.0,-1.0,0.128518321826872
24,7,percent,2,-0.3965088288259146,-0.29411764705882354,0.007905138339920958
24,8,percent,1,0.7071067811865475,1.0,0.24505730659025785
24,9,percent,1,-1.0,-1.0,0.3146314631463146
25,2,percent,2,-0.3127830468459961,-0.3584905660377358,0.012797074954296148
25,4,percent,1,-0.3308465799422135,-0.5714285714285714,0.0996309963099631
25,5,percent,1,-0.11785113019775793,-0.125,0.11025968497232864
25,6,percent,1,0.20712928902712277,0.42857142857142855,0.1234468954248366
25,7,percent,2,-0.13333578213051497,-0.23076923076923078,0.11395348837209303
25,8,percent,1,-0.6982532518267538,-0.6666666666666666,0.19552715654952077
25,9,percent,1,-0.051298917604257706,0.1111111111111111,0.237962962962963
26,1,percent,2,0.13608276348795437,0.21739130434782608,0.004761904761904759
26,2,percent,2,-0.23456790123456786,-0.28,0.12056074766355139
27,1,percent,1,-0.5049193032800973,-0.8181818181818182,0.08218954248366013
27,2,percent,1,-0.5954913341754137,-1.0,0.09057301293900186
27,3,percent,1,-0.7953352372018255,-1.0,0.09815498154981551
27,4,percent,1,-0.12883435582822086,-0.17073170731707318,0.09626436781609193
27,6,percent,1,-0.19429458357867913,-0.25,0.12008733624454147
27,7,percent,2,-0.25051523075139,-0.2,0.0022988505747126298
27,8,percent,2,-0.411764705882353,-0.42857142857142855,0.19347826086956524
28,2,rank,2,-0.650213213321002,-0.5409836065573771,1.0
28,4,rank,1,-0.11291981880147614,-0.10526315789473684,8.5
28,6,rank,1,0.290693866424127,0.2903225806451613,0.5
28,7,rank,1,0.29277002188455997,0.28,5.0
28,8,rank,1,0.14285714285714288,0.047619047619047616,4.0
28,9,rank,1,-0.14285714285714288,-0.2,6.0
28,10,rank,1,0.6155870112510925,0.5555555555555556,4.5
29,2,rank,1,0.06473494440269431,0.034482758620689655,12.0
29,3,rank,1,0.15504341823651058,0.10588235294117647,13.0
