season,celebrity_name,rule,predicted_placement,placement
11,Margaret Cho,rank,10,10
11,The Situation,rank,9,9
11,Florence Henderson,rank,8,8
11,Audrina Patridge,rank,7,7
11,Rick Fox,rank,6,6
11,Kurt Warner,rank,5,5
11,Brandy,rank,4,4
11,Jennifer Grey,rank,1,1
11,Kyle Massey,rank,1,2
11,Bristol Palin,rank,1,3
11,David Hasselhoff,percent,12,12
11,Michael Bolton,percent,11,11
11,Margaret Cho,percent,10,10
11,The Situation,percent,9,9
11,Florence Henderson,percent,8,8
11,Audrina Patridge,percent,7,7
11,Rick Fox,percent,6,6
11,Kurt Warner,percent,5,5
11,Brandy,percent,4,4
11,Jennifer Grey,percent,1,1
11,Kyle Massey,percent,1,2
11,Bristol Palin,percent,1,3
12,Mike Catherwood,fair,11,11
12,Wendy Williams,fair,10,10
12,Sugar Ray Leonard,fair,9,9
12,Petra Nemcova,fair,8,8
12,Chris Jericho,fair,7,7
12,Kendra Wilkinson,fair,6,6
12,Romeo,fair,5,5
12,Ralph Macchio,fair,4,4
12,Hines Ward,fair,1,1
12,Kirstie Alley,fair,1,2
12,Chelsea Kane,fair,1,3
12,Mike Catherwood,rank,11,11
12,Wendy Williams,rank,10,10
12,Sugar Ray Leonard,rank,9,9
12,Petra Nemcova,rank,8,8
12,Chris Jericho,rank,7,7
12,Kendra Wilkinson,rank,6,6
12,Romeo,rank,5,5
12,Ralph Macchio,rank,4,4
12,Hines Ward,rank,1,1
12,Kirstie Alley,rank,1,2
12,Chelsea Kane,rank,1,3
12,Mike Catherwood,percent,11,11
12,Wendy Williams,percent,10,10
12,Sugar Ray Leonard,percent,9,9
12,Petra Nemcova,percent,8,8
12,Chris Jericho,percent,7,7
12,Kendra Wilkinson,percent,6,6
12,Romeo,percent,5,5
12,Ralph Macchio,percent,4,4
12,Hines Ward,percent,1,1
12,Kirstie Alley,percent,1,2
12,Chelsea Kane,percent,1,3
13,Metta World Peace (Ron),fair,12,12
13,Elisabetta Canalis,fair,11,11
13,Kristin Cavallari,fair,10,10
13,Chynna Phillips,fair,9,9
13,Carson Kressley,fair,8,8
13,Chaz Bono,fair,7,7
13,David Arquette,fair,6,6
13,Nancy Grace,fair,5,5
13,Hope Solo,fair,4,4
13,Ricki Lake,fair,1,3
13,Rob Kardashian,fair,1,2
13,J.R. Martinez,fair,1,1
13,Metta World Peace (Ron),rank,12,12
13,Elisabetta Canalis,rank,11,11
13,Kristin Cavallari,rank,10,10
13,Chynna Phillips,rank,9,9
13,Carson Kressley,rank,8,8
13,Chaz Bono,rank,7,7
13,David Arquette,rank,6,6
13,Nancy Grace,rank,5,5
13,Hope Solo,rank,4,4
13,Ricki Lake,rank,1,3
13,Rob Kardashian,rank,1,2
13,J.R. Martinez,rank,1,1
13,Metta World Peace (Ron),percent,12,12
