feature,coef_std_judge,coef_std_fan
celebrity_industry_Fashion Designer,-0.012751511784628272,-0.00037559603286130717
ballroom_partner_Jesse DeSoto,-0.012976006944780842,-0.0015755953948462479
celebrity_homestate_Rhode Island,-0.012976006944780946,-0.0015755953948462327
celebrity_industry_Military,-0.015149545555358246,0.0006610637027220766
celebrity_homestate_Ohio,-0.01543350602952686,-0.004048607786073886
celebrity_industry_Motivational Speaker,-0.015678292871811342,0.0023880035852715965
celebrity_homestate_Kansas,-0.016054687181067576,0.00023325083784969886
celebrity_homecountry/region_Cuba,-0.017651810311299178,0.0005578360415353155
celebrity_homestate_Arizona,-0.018283103264128533,0.0027051651756365667
celebrity_homecountry/region_South Korea,-0.019461624667357645,0.002970504641964373
ballroom_partner_Allison Holker,-0.021912361071783223,-0.0031631709844061016
celebrity_homestate_Washington D.C.,-0.02192339172633629,0.003421139814786173
celebrity_industry_Sports Broadcaster,-0.021978828597456534,0.0005551861392221486
celebrity_homecountry/region_Poland,-0.022457856235042623,-0.002073798983420829
ballroom_partner_Tristan MacManus,-0.022931020352189236,-0.005018877874856007
celebrity_homestate_Missouri,-0.023271345681310264,-0.0007159355918108716
ballroom_partner_Peta Murgatroyd,-0.024199703192089514,-0.004790812509332586
ballroom_partner_Cheryl Burke,-0.024547080411458283,-0.007367728527609339
ballroom_partner_Kym Johnson,-0.02516303096044889,-0.007601460277426063
ballroom_partner_Inna Brayer,-0.025552925659372557,-0.0031058685613615977
ballroom_partner_Emma Slater,-0.025806622924973512,-0.0022746374674023602
ballroom_partner_Lindsay Arnold,-0.026085471411242307,-0.0038173879736108653
ballroom_partner_Fabian Sanchez,-0.026668240917486992,-0.0042257582855625446
celebrity_homestate_Wisconsin,-0.027407038983545986,-0.0005402822903599091
celebrity_homestate_Indiana,-0.028285729577958045,-0.0010460080295565505
celebrity_homestate_South Dakota,-0.029527367393968773,0.0012640696958321558
celebrity_industry_Beauty Pagent,-0.031619965234486985,-0.0021333091581465548
ballroom_partner_Brian Fortuna,-0.031619965234489185,-0.0021333091581465322
celebrity_industry_Con artist,-0.03254089456076367,-0.0009537730545773129
ballroom_partner_Ezra Sosa,-0.032540894560765546,-0.000953773054577309
celebrity_homecountry/region_Philippines,-0.03368998630893479,0.0003608902843432026
celebrity_industry_Journalist,-0.036130688204309924,-0.0004047539167641046
ballroom_partner_Gleb Savchenko,-0.03621475742442853,-0.004495178949592802
celebrity_homestate_Illinois,-0.03689267989708483,0.0012765382233914583
celebrity_homestate_Oregon,-0.03884918249189762,0.0026028310886871296
celebrity_industry_Social Media Personality,-0.03927892683248427,-0.005045263479453418
ballroom_partner_Kym Herjavec,-0.04053277858684213,-0.0020644142233177246
celebrity_homecountry/region_Spain,-0.04073747200461303,-0.0006345152676132952
celebrity_homestate_New Hamshire,-0.04501016278428702,-0.0011866119344759994
celebrity_homestate_South Carolina,-0.046343471780108544,-0.00039612526995827686
ballroom_partner_Jonathan Roberts,-0.047829392421546144,-0.00694269778572492
ballroom_partner_Tyne Stecklein,-0.04809125306869184,-0.003313818621086295
season,-0.04845935109265441,-0.02159145112235609
ballroom_partner_Sharna Burgess,-0.04952172840651648,-0.005484849115156483
celebrity_homestate_Iowa,-0.051359027570646906,0.00017441109252759796
celebrity_homestate_New Jersey,-0.05793470004472299,-0.0007393336220703978
celebrity_industry_Comedian,-0.05811094851835326,-0.0024141407225363887
ballroom_partner_Louis van Amstel,-0.05925666959275197,-0.007960648095016279
celebrity_industry_Magician,-0.05986532126018043,-0.002977881984559746
ballroom_partner_Koko Iwasaki,-0.06133557619277069,0.00013409489443344806
celebrity_industry_Radio Personality,-0.06174619661433604,-0.0030116809494654386
celebrity_homestate_New Mexico,-0.06664642654140485,-0.002350293324144369
celebrity_industry_Singer/Rapper,-0.06941109339748089,-0.005961013231665634
ballroom_partner_Anna Demidova,-0.07010544529000882,-0.0036648229442909873
ballroom_partner_Anna Trebunskaya,-0.07130352270402145,-0.0070841066154315275
celebrity_homecountry/region_Taiwan China,-0.07154159073588937,-0.001093781539513117
ballroom_partner_Rylee Arnold,-0.07163054053575424,0.000340931530234267
celebrity_homecountry/region_Canada,-0.07193592108039669,0.0009442830651106805
ballroom_partner_Andrea Hale,-0.07492037459914291,-0.003549628441112235
celebrity_homecountry/region_Russia,-0.07625580059149152,-0.0023073313359836985
celebrity_homestate_New York,-0.07765387972017421,-0.0003743491844248768
ballroom_partner_Alec Mazo,-0.0782206282309186,-0.0027825790979168507
celebrity_homestate_North Carolina,-0.07875354779785029,-0.0018657920067461638
celebrity_homecountry/region_Czechoslovakia,-0.08567729656287972,-0.0022592623785789223
celebrity_homecountry/region_Venezuela,-0.08637548980025306,-0.0002870897261973821
celebrity_homecountry/region_Chile,-0.08801700906923238,-0.0013056622632317543
celebrity_homecountry/region_Germany,-0.08831428183856885,-0.000725799162915851
ballroom_partner_Britt Stewart,-0.0895041268207073,-0.0055030903958756625
ballroom_partner_Karina Smirnoff,-0.09194781568658555,-0.00946510969986086
celebrity_industry_Entrepreneur,-0.09443193472633896,-0.0021547229932226642
celebrity_homecountry/region_Mexico,-0.09655856181209953,-0.0010395274232052202
ballroom_partner_Jan Ravnik,-0.09686157755713255,-0.004430188774468834
celebrity_homecountry/region_Yugoslavia,-0.0998453569959118,-0.0024822533871770385
ballroom_partner_Julianne Hough,-0.10002895181781404,-0.006125265885390693
